WigleWifi-1.4,appRelease=2.25,model=LG-K220,release=6.0.1,device=mk6p,display=MXB48T,board=mt6735,brand=lge
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
1c:b9:c4:15:ed:b8,IT-MNG,[WPA2-PSK-CCMP+TKIP][ESS],2017-11-01 11:38:29,1,-89,32.1038966666667,35.2098933333333,727.2,5.09999990463257,WIFI
10:0d:7f:99:32:5e,Bezeq-n_325E,[WPS][ESS],2017-11-01 11:38:29,11,-83,32.1038966666667,35.2098933333333,727.2,5.09999990463257,WIFI
1c:b9:c4:16:ed:48,Ariel_University,[ESS],2017-11-01 11:38:29,6,-79,32.1038966666667,35.2098933333333,727.2,5.09999990463257,WIFI
3c:52:82:ef:d4:52,DIRECT-51-HP DeskJet 3630 series,[WPA2-PSK-CCMP][ESS][P2P],2017-11-01 11:38:29,6,-80,32.1038966666667,35.2098933333333,727.2,5.09999990463257,WIFI
1c:b9:c4:16:06:b8,Ariel_University,[ESS],2017-11-01 11:38:29,11,-65,32.1038966666667,35.2098933333333,727.2,5.09999990463257,WIFI
1c:b9:c4:16:1d:78,Ariel_University,[ESS],2017-11-01 11:38:29,11,-71,32.1038966666667,35.2098933333333,727.2,5.09999990463257,WIFI
24:79:2a:2c:5b:d8,Ariel_University,[ESS],2017-11-01 11:38:29,1,-78,32.1038966666667,35.2098933333333,727.2,5.09999990463257,WIFI
24:79:2a:2b:07:b8,Ariel_University,[ESS],2017-11-01 11:38:29,11,-82,32.1038966666667,35.2098933333333,727.2,5.09999990463257,WIFI
00:27:22:f3:bb:2b,,[ESS],2017-11-01 11:38:29,6,-71,32.1038966666667,35.2098933333333,727.2,5.09999990463257,WIFI
1c:b9:c4:15:fd:48,Ariel_University,[ESS],2017-11-01 11:38:29,1,-88,32.1038966666667,35.2098933333333,727.2,5.09999990463257,WIFI
24:79:2a:2c:5c:18,Ariel_University,[ESS],2017-11-01 11:38:29,11,-91,32.1038966666667,35.2098933333333,727.2,5.09999990463257,WIFI
1c:b9:c4:15:1c:b8,Ariel_University,[ESS],2017-11-01 11:38:29,1,-93,32.1038966666667,35.2098933333333,727.2,5.09999990463257,WIFI
c0:4a:00:71:ee:ee,Onicom,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-11-01 11:38:29,9,-90,32.1038966666667,35.2098933333333,727.2,5.09999990463257,WIFI
42502_811_3868449,GOLAN T,UNKNOWN;il,2017-11-01 11:38:29,0,-113,32.1038966666667,35.2098933333333,727.2,5.09999990463257,GSM
10:0d:7f:99:32:5e,Bezeq-n_325E,[WPS][ESS],2017-11-01 11:38:34,11,-77,32.1039,35.2098783333333,727,4.30000019073486,WIFI
60:e3:27:7b:e0:98,HelpDesk,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-11-01 11:38:34,4,-89,32.1039,35.2098783333333,727,4.30000019073486,WIFI
8c:0c:90:6f:cb:e8,,[WPA2-PSK-CCMP][ESS],2017-11-01 11:38:34,1,-88,32.1039,35.2098783333333,727,4.30000019073486,WIFI
