WigleWifi-1.4,appRelease=2.25,model=LG-K220,release=6.0.1,device=mk6p,display=MXB48T,board=mt6735,brand=lge
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
3c:52:82:ef:c4:3c,DIRECT-3B-HP DeskJet 3630 series,[WPA2-PSK-CCMP][ESS][P2P],2017-11-01 10:00:24,6,-65,32.10226,35.209445,573.7,10.1000003814697,WIFI
1c:b9:c4:16:ed:38,Ariel_University,[ESS],2017-11-01 10:00:24,6,-76,32.10226,35.209445,573.7,10.1000003814697,WIFI
1c:b9:c4:15:ec:38,Ariel_University,[ESS],2017-11-01 10:00:24,6,-68,32.10226,35.209445,573.7,10.1000003814697,WIFI
1c:b9:c4:12:af:78,Ariel_University,[ESS],2017-11-01 10:00:24,11,-59,32.10226,35.209445,573.7,10.1000003814697,WIFI
1c:b9:c4:14:30:38,Ariel_University,[ESS],2017-11-01 10:00:24,1,-80,32.10226,35.209445,573.7,10.1000003814697,WIFI
00:1d:aa:81:d8:3c,KCG-ADSL,[WPA2-PSK-CCMP][WPS][ESS],2017-11-01 10:00:24,3,-82,32.10226,35.209445,573.7,10.1000003814697,WIFI
a0:8c:fd:0a:52:01,DIRECT-02-HP DeskJet 3630 series,[WPA2-PSK-CCMP][ESS][P2P],2017-11-01 10:00:24,3,-83,32.10226,35.209445,573.7,10.1000003814697,WIFI
42502_811_3868449,GOLAN T,UNKNOWN;il,2017-11-01 10:00:24,0,-113,32.10226,35.209445,573.7,10.1000003814697,GSM
00:1d:aa:81:d8:3c,KCG-ADSL,[WPA2-PSK-CCMP][WPS][ESS],2017-11-01 10:00:28,3,-77,32.1027533333333,35.20946,610.2,7,WIFI
1c:b9:c4:15:ec:38,Ariel_University,[ESS],2017-11-01 10:00:31,6,-62,32.1031,35.2094466666667,640.2,5.09999990463257,WIFI
1c:b9:c4:15:43:e8,Ariel_University,[ESS],2017-11-01 10:00:31,1,-84,32.1031,35.2094466666667,640.2,5.09999990463257,WIFI
1c:b9:c4:12:90:b8,Ariel_University,[ESS],2017-11-01 10:00:34,11,-87,32.10314,35.20945,644,4.59999990463257,WIFI
1c:b9:c4:16:f4:28,Ariel_University,[ESS],2017-11-01 10:00:37,11,-90,32.103185,35.2094516666667,649.1,4.19999980926514,WIFI
3c:52:82:ef:c4:3c,DIRECT-3B-HP DeskJet 3630 series,[WPA2-PSK-CCMP][ESS][P2P],2017-11-01 10:00:43,6,-66,32.103265,35.2094833333333,656.1,3.90000009536743,WIFI
1c:b9:c4:16:ed:38,Ariel_University,[ESS],2017-11-01 10:00:43,6,-76,32.103265,35.2094833333333,656.1,3.90000009536743,WIFI
1c:b9:c4:12:af:78,Ariel_University,[ESS],2017-11-01 10:00:43,11,-59,32.103265,35.2094833333333,656.1,3.90000009536743,WIFI
1c:b9:c4:14:30:38,Ariel_University,[ESS],2017-11-01 10:00:43,1,-80,32.103265,35.2094833333333,656.1,3.90000009536743,WIFI
a0:8c:fd:0a:52:01,DIRECT-02-HP DeskJet 3630 series,[WPA2-PSK-CCMP][ESS][P2P],2017-11-01 10:00:43,3,-84,32.103265,35.2094833333333,656.1,3.90000009536743,WIFI
42502_811_3868449,GOLAN T,UNKNOWN;il,2017-11-01 10:00:43,0,-113,32.103265,35.2094833333333,656.1,3.90000009536743,GSM
1c:b9:c4:15:ec:38,Ariel_University,[ESS],2017-11-01 10:00:46,6,-57,32.1032683333333,35.2095,656.1,3.90000009536743,WIFI
a0:8c:fd:0a:52:01,DIRECT-02-HP DeskJet 3630 series,[WPA2-PSK-CCMP][ESS][P2P],2017-11-01 10:01:01,3,-79,32.1030983333333,35.2095733333333,651,4.09999990463257,WIFI
